year.month.day;caudal
1909-07-01;31.00450
1909-08-01;29.50450
1909-09-01;32.00450
1909-10-01;35.80450
1909-11-01;43.80450
1909-12-01;42.50450
1910-01-01;39.50073
1910-02-01;40.00000
1910-03-01;31.00000
1910-04-01;30.00000
1910-05-01;31.50000
1910-06-01;29.00000
1910-07-01;28.00222
1910-08-01;26.50000
1910-09-01;28.00000
1910-10-01;30.20000
1910-11-01;25.50000
1910-12-01;24.00000
1911-01-01;35.50000
1911-02-01;43.50000
1911-03-01;31.50000
1911-04-01;29.50000
1911-05-01;30.00000
1911-06-01;28.00000
1911-07-01;27.49550
1911-08-01;27.59865
1911-09-01;24.50000
1911-10-01;20.30000
1911-11-01;28.00000
1911-12-01;28.20000
1912-01-01;29.20000
1912-02-01;30.00000
1912-03-01;27.50000
1912-04-01;23.00000
1912-05-01;21.00000
1912-06-01;30.00000
1912-07-01;17.50080
1912-08-01;18.50000
1912-09-01;24.50000
1912-10-01;54.50000
1912-11-01;54.60000
1912-12-01;132.00000
1913-01-01;125.00000
1913-02-01;92.50000
1913-03-01;56.50000
1913-04-01;44.50000
1913-05-01;42.50000
1913-06-01;37.00000
1913-07-01;29.19550
1913-08-01;35.89550
1913-09-01;26.79550
1913-10-01;28.99550
1913-11-01;35.79550
1913-12-01;40.79550
1914-01-01;37.59633
1914-02-01;37.00000
1914-03-01;37.20000
1914-04-01;29.20000
1914-05-01;30.00000
1914-06-01;27.40000
1914-07-01;31.19584
1914-08-01;31.20000
1914-09-01;30.00000
1914-10-01;45.30000
1914-11-01;80.40000
1914-12-01;439.00000
1915-01-01;745.00000
1915-02-01;502.00000
1915-03-01;228.00000
1915-04-01;135.00000
1915-05-01;120.00000
1915-06-01;112.00000
1915-07-01;101.95640
1915-08-01;93.00000
1915-09-01;112.00000
1915-10-01;114.00000
1915-11-01;190.00000
1915-12-01;318.00000
1916-01-01;276.00000
1916-02-01;173.00000
1916-03-01;120.00000
1916-04-01;86.80000
1916-05-01;71.50000
1916-06-01;63.80000
1916-07-01;57.99550
1916-08-01;60.99550
1916-09-01;52.39550
1916-10-01;77.99550
1916-11-01;66.99550
1916-12-01;46.49916
1917-01-01;86.80000
1917-02-01;62.50000
1917-03-01;39.00000
1917-04-01;31.80000
1917-05-01;34.50000
1917-06-01;32.20000
1917-07-01;28.00343
1917-08-01;30.00000
1917-09-01;32.50000
1917-10-01;31.60000
1917-11-01;27.10000
1917-12-01;24.50000
1918-01-01;40.00000
1918-02-01;46.60000
1918-03-01;42.00000
1918-04-01;32.50000
1918-05-01;37.00000
1918-06-01;36.10000
1918-07-01;32.49550
1918-08-01;30.99550
1918-09-01;31.19610
1918-10-01;40.00000
1918-11-01;64.50000
1918-12-01;114.00000
1919-01-01;130.00000
1919-02-01;67.00000
1919-03-01;54.00000
1919-04-01;48.00000
1919-05-01;57.30000
1919-06-01;61.20000
1919-07-01;60.00450
1919-08-01;66.50450
1919-09-01;58.00450
1919-10-01;123.04500
1919-11-01;228.01660
1919-12-01;774.00000
1920-01-01;570.00000
1920-02-01;364.00000
1920-03-01;176.00000
1920-04-01;102.00000
1920-05-01;85.00000
1920-06-01;79.50000
1920-07-01;82.50450
1920-08-01;82.50450
1920-09-01;78.00450
1920-10-01;77.00450
1920-11-01;82.00450
1920-12-01;133.03130
1921-01-01;146.00000
1921-02-01;142.00000
1921-03-01;107.00000
1921-04-01;63.00000
1921-05-01;88.20000
1921-06-01;80.00000
1921-07-01;65.79550
1921-08-01;63.99550
1921-09-01;76.49550
1921-10-01;115.98970
1921-11-01;231.00000
1921-12-01;193.00000
1922-01-01;209.00000
1922-02-01;126.00000
1922-03-01;109.00000
1922-04-01;78.50000
1922-05-01;74.50000
1922-06-01;70.00000
1922-07-01;71.99550
1922-08-01;70.79550
1922-09-01;67.99550
1922-10-01;62.49652
1922-11-01;144.00000
1922-12-01;120.00000
1923-01-01;106.00000
1923-02-01;86.00000
1923-03-01;53.50000
1923-04-01;46.50000
1923-05-01;45.50000
1923-06-01;45.00000
1923-07-01;42.00450
1923-08-01;42.50450
1923-09-01;40.50142
1923-10-01;40.60000
1923-11-01;77.50000
1923-12-01;101.00000
1924-01-01;94.00000
1924-02-01;61.50000
1924-03-01;43.80000
1924-04-01;36.00000
1924-05-01;36.20000
1924-06-01;32.00000
1924-07-01;30.00450
1924-08-01;30.00292
1924-09-01;25.00000
1924-10-01;23.50000
1924-11-01;18.00000
1924-12-01;27.50000
1925-01-01;36.00000
1925-02-01;41.80000
1925-03-01;36.00000
1925-04-01;28.50000
1925-05-01;30.00000
1925-06-01;30.80000
1925-07-01;28.99550
1925-08-01;28.79833
1925-09-01;28.00000
1925-10-01;32.20000
1925-11-01;62.20000
1925-12-01;114.00000
1926-01-01;70.20000
1926-02-01;60.60000
1926-03-01;47.50000
1926-04-01;31.00000
1926-05-01;31.00000
1926-06-01;34.00000
1926-07-01;45.00450
1926-08-01;42.00450
1926-09-01;41.00450
1926-10-01;76.00450
1926-11-01;246.02880
1926-12-01;388.00000
1927-01-01;275.00000
1927-02-01;208.00000
1927-03-01;117.00000
1927-04-01;83.00000
1927-05-01;75.50000
1927-06-01;79.00000
1927-07-01;67.00450
1927-08-01;55.50450
1927-09-01;49.00450
1927-10-01;65.50169
1927-11-01;127.00000
1927-12-01;163.00000
1928-01-01;114.00000
1928-02-01;76.00000
1928-03-01;52.50000
1928-04-01;44.00000
1928-05-01;42.20000
1928-06-01;49.00000
1928-07-01;48.99632
1928-08-01;44.00000
1928-09-01;38.50000
1928-10-01;47.50000
1928-11-01;104.00000
1928-12-01;91.80000
1929-01-01;80.20000
1929-02-01;79.00000
1929-03-01;50.60000
1929-04-01;44.50000
1929-05-01;44.50000
1929-06-01;46.00000
1929-07-01;39.99550
1929-08-01;36.99550
1929-09-01;40.99550
1929-10-01;46.99550
1929-11-01;102.99990
1929-12-01;128.00000
1930-01-01;97.50000
1930-02-01;76.80000
1930-03-01;47.50000
1930-04-01;46.50000
1930-05-01;44.00000
1930-06-01;43.20000
1930-07-01;45.50450
1930-08-01;41.00450
1930-09-01;52.20300
1930-10-01;60.50000
1930-11-01;230.00000
1930-12-01;306.00000
1931-01-01;300.00000
1931-02-01;211.00000
1931-03-01;131.00000
1931-04-01;72.00000
1931-05-01;69.00000
1931-06-01;61.00000
1931-07-01;54.50010
1931-08-01;53.00000
1931-09-01;51.00000
1931-10-01;104.00000
1931-11-01;120.00000
1931-12-01;198.00000
1932-01-01;167.00000
1932-02-01;102.00000
1932-03-01;63.20000
1932-04-01;50.00000
1932-05-01;47.00000
1932-06-01;46.20000
1932-07-01;46.49550
1932-08-01;50.99550
1932-09-01;48.99550
1932-10-01;41.49558
1932-11-01;75.00000
1932-12-01;84.20000
1933-01-01;74.20000
1933-02-01;65.80000
1933-03-01;37.30000
1933-04-01;30.00000
1933-05-01;30.50000
1933-06-01;35.30000
1933-07-01;34.29550
1933-08-01;28.99550
1933-09-01;34.69550
1933-10-01;60.19550
1933-11-01;91.09550
1933-12-01;73.79550
1934-01-01;63.49550
1934-02-01;41.19874
1934-03-01;29.20000
1934-04-01;34.50000
1934-05-01;53.50000
1934-06-01;65.50000
1934-07-01;62.00450
1934-08-01;42.00450
1934-09-01;53.00450
1934-10-01;76.00450
1934-11-01;176.04500
1934-12-01;210.04500
1935-01-01;235.04500
1935-02-01;149.04500
1935-03-01;78.00450
1935-04-01;63.50450
1935-05-01;52.50450
1935-06-01;48.00450
1935-07-01;45.20450
1935-08-01;46.50450
1935-09-01;43.00450
1935-10-01;40.50450
1935-11-01;93.00450
1935-12-01;60.80450
1936-01-01;57.50358
1936-02-01;61.20000
1936-03-01;44.00000
1936-04-01;34.20000
1936-05-01;38.00000
1936-06-01;37.00000
1936-07-01;35.00450
1936-08-01;34.00450
1936-09-01;37.00450
1936-10-01;45.00450
1936-11-01;57.50450
1936-12-01;68.50450
1937-01-01;66.00450
1937-02-01;50.80450
1937-03-01;41.00261
1937-04-01;36.50000
1937-05-01;33.50000
1937-06-01;32.00000
1937-07-01;34.00251
1937-08-01;34.00000
1937-09-01;32.50000
1937-10-01;46.50000
1937-11-01;98.50000
1937-12-01;182.00000
1938-01-01;106.00000
1938-02-01;74.50000
1938-03-01;61.00000
1938-04-01;42.50000
1938-05-01;42.50000
1938-06-01;45.00000
1938-07-01;40.99550
1938-08-01;37.49550
1938-09-01;37.99550
1938-10-01;47.49550
1938-11-01;36.49550
1938-12-01;36.49934
1939-01-01;51.50000
1939-02-01;43.00000
1939-03-01;36.80000
1939-04-01;32.00000
1939-05-01;32.00000
1939-06-01;31.50000
1939-07-01;25.69550
1939-08-01;25.69812
1939-09-01;29.00000
1939-10-01;33.50000
1939-11-01;35.50000
1939-12-01;40.00000
1940-01-01;40.50000
1940-02-01;35.00000
1940-03-01;31.50000
1940-04-01;28.50000
1940-05-01;28.50000
1940-06-01;30.00000
1940-07-01;30.00450
1940-08-01;29.10450
1940-09-01;33.20450
1940-10-01;48.50450
1940-11-01;96.00450
1940-12-01;141.01480
1941-01-01;164.00000
1941-02-01;83.50000
1941-03-01;56.30000
1941-04-01;49.10000
1941-05-01;57.50000
1941-06-01;50.00000
1941-07-01;44.50450
1941-08-01;47.50450
1941-09-01;55.70450
1941-10-01;136.04500
1941-11-01;170.04500
1941-12-01;387.00450
1942-01-01;415.00000
1942-02-01;281.00000
1942-03-01;170.00000
1942-04-01;96.50000
1942-05-01;84.20000
1942-06-01;78.00000
1942-07-01;66.20038
1942-08-01;66.40000
1942-09-01;70.40000
1942-10-01;88.20000
1942-11-01;151.00000
1942-12-01;144.00000
1943-01-01;160.00000
1943-02-01;103.00000
1943-03-01;77.30000
1943-04-01;65.50000
1943-05-01;60.50000
1943-06-01;61.00000
1943-07-01;56.99604
1943-08-01;53.00000
1943-09-01;50.20000
1943-10-01;67.50000
1943-11-01;87.20000
1943-12-01;91.00000
1944-01-01;91.00000
1944-02-01;91.30000
1944-03-01;62.50000
1944-04-01;57.50000
1944-05-01;53.20000
1944-06-01;50.50000
1944-07-01;49.50450
1944-08-01;45.50450
1944-09-01;55.50450
1944-10-01;82.20450
1944-11-01;133.03660
1944-12-01;199.00000
1945-01-01;123.00000
1945-02-01;120.00000
1945-03-01;65.30000
1945-04-01;59.50000
1945-05-01;59.00000
1945-06-01;55.50000
1945-07-01;47.50450
1945-08-01;42.50450
1945-09-01;45.40450
1945-10-01;50.50450
1945-11-01;46.00450
1945-12-01;46.10450
1946-01-01;44.20129
1946-02-01;39.50000
1946-03-01;40.00000
1946-04-01;34.30000
1946-05-01;36.30000
1946-06-01;39.00000
1946-07-01;38.69550
1946-08-01;38.49550
1946-09-01;33.79550
1946-10-01;35.99862
1946-11-01;51.00000
1946-12-01;38.50000
1947-01-01;45.70000
1947-02-01;44.60000
1947-03-01;33.20000
1947-04-01;28.00000
1947-05-01;27.80000
1947-06-01;28.00000
1947-07-01;25.99550
1947-08-01;25.59690
1947-09-01;30.00000
1947-10-01;33.50000
1947-11-01;66.50000
1947-12-01;64.40000
1948-01-01;54.00000
1948-02-01;41.50000
1948-03-01;31.10000
1948-04-01;23.80000
1948-05-01;28.50000
1948-06-01;28.80000
1948-07-01;28.99578
1948-08-01;27.80000
1948-09-01;34.00000
1948-10-01;58.00000
1948-11-01;93.50000
1948-12-01;150.00000
1949-01-01;100.00000
1949-02-01;61.50000
1949-03-01;43.40000
1949-04-01;39.30000
1949-05-01;37.00000
1949-06-01;38.50000
1949-07-01;33.19818
1949-08-01;35.50000
1949-09-01;35.10000
1949-10-01;38.60000
1949-11-01;55.00000
1949-12-01;42.00000
1950-01-01;40.20000
1950-02-01;35.20000
1950-03-01;30.20000
1950-04-01;27.00000
1950-05-01;29.00000
1950-06-01;35.00000
1950-07-01;31.49550
1950-08-01;26.99550
1950-09-01;28.09550
1950-10-01;36.99550
1950-11-01;55.39877
1950-12-01;76.60000
1951-01-01;59.50000
1951-02-01;35.90000
1951-03-01;29.20000
1951-04-01;26.80000
1951-05-01;29.80000
1951-06-01;30.70000
1951-07-01;30.10450
1951-08-01;28.50356
1951-09-01;27.10000
1951-10-01;26.70000
1951-11-01;41.60000
1951-12-01;43.90000
1952-01-01;45.10000
1952-02-01;40.80000
1952-03-01;32.40000
1952-04-01;28.30000
1952-05-01;29.60000
1952-06-01;32.00000
1952-07-01;31.79550
1952-08-01;30.89550
1952-09-01;38.09550
1952-10-01;48.49550
1952-11-01;64.99598
1952-12-01;91.50000
1953-01-01;65.70000
1953-02-01;60.90000
1953-03-01;49.00000
1953-04-01;38.20000
1953-05-01;36.10000
1953-06-01;40.70000
1953-07-01;30.20450
1953-08-01;35.30016
1953-09-01;43.90000
1953-10-01;57.60000
1953-11-01;217.00000
1953-12-01;377.00000
1954-01-01;236.00000
1954-02-01;165.00000
1954-03-01;105.00000
1954-04-01;80.60000
1954-05-01;69.20000
1954-06-01;60.00000
1954-07-01;54.30450
1954-08-01;52.00450
1954-09-01;53.50450
1954-10-01;58.70450
1954-11-01;90.40096
1954-12-01;84.10000
1955-01-01;88.90000
1955-02-01;61.90000
1955-03-01;51.00000
1955-04-01;42.40000
1955-05-01;44.40000
1955-06-01;42.70000
1955-07-01;39.30450
1955-08-01;37.10450
1955-09-01;37.00450
1955-10-01;42.40450
1955-11-01;66.90450
1955-12-01;65.20450
1956-01-01;54.70174
1956-02-01;41.80000
1956-03-01;33.20000
1956-04-01;29.30000
1956-05-01;31.30000
1956-06-01;32.30000
1956-07-01;30.09550
1956-08-01;27.79550
1956-09-01;28.19920
1956-10-01;35.20000
1956-11-01;35.60000
1956-12-01;31.60000
1957-01-01;33.50000
1957-02-01;34.20000
1957-03-01;30.50000
1957-04-01;28.60000
1957-05-01;28.60000
1957-06-01;32.50000
1957-07-01;29.80450
1957-08-01;27.10450
1957-09-01;28.80450
1957-10-01;50.40450
1957-11-01;97.80138
1957-12-01;141.00000
1958-01-01;117.00000
1958-02-01;67.70000
1958-03-01;58.60000
1958-04-01;41.20000
1958-05-01;37.40000
1958-06-01;37.90000
1958-07-01;37.20450
1958-08-01;34.20450
1958-09-01;35.00450
1958-10-01;51.50450
1958-11-01;57.20450
1958-12-01;48.00450
1959-01-01;41.40340
1959-02-01;42.00000
1959-03-01;39.30000
1959-04-01;31.10000
1959-05-01;31.40000
1959-06-01;31.00000
1959-07-01;30.49659
1959-08-01;30.10000
1959-09-01;38.60000
1959-10-01;46.60000
1959-11-01;58.00000
1959-12-01;56.40000
1960-01-01;56.50000
1960-02-01;45.60000
1960-03-01;32.80000
1960-04-01;28.20000
1960-05-01;28.30000
1960-06-01;28.30000
1960-07-01;30.50450
1960-08-01;32.40450
1960-09-01;34.50450
1960-10-01;46.50450
1960-11-01;70.00450
1960-12-01;94.20450
1961-01-01;52.00450
1961-02-01;44.70155
1961-03-01;34.50000
1961-04-01;30.10000
1961-05-01;30.80000
1961-06-01;30.20000
1961-07-01;30.09550
1961-08-01;30.09962
1961-09-01;29.10000
1961-10-01;55.70000
1961-11-01;109.00000
1961-12-01;112.00000
1962-01-01;63.50000
1962-02-01;53.70000
1962-03-01;41.20000
1962-04-01;35.10000
1962-05-01;33.60000
1962-06-01;33.00000
1962-07-01;31.90172
1962-08-01;30.50000
1962-09-01;30.10000
1962-10-01;34.00000
1962-11-01;58.80000
1962-12-01;52.20000
1963-01-01;43.90000
1963-02-01;41.50000
1963-03-01;39.70000
1963-04-01;29.20000
1963-05-01;30.20000
1963-06-01;29.80000
1963-07-01;29.39550
1963-08-01;27.49550
1963-09-01;30.99550
1963-10-01;35.39550
1963-11-01;55.99550
1963-12-01;239.99940
1964-01-01;234.00000
1964-02-01;111.00000
1964-03-01;64.90000
1964-04-01;50.80000
1964-05-01;46.30000
1964-06-01;45.10000
1964-07-01;42.79550
1964-08-01;35.69550
1964-09-01;37.09550
1964-10-01;37.39550
1964-11-01;33.59550
1964-12-01;30.69883
1965-01-01;32.80000
1965-02-01;32.20000
1965-03-01;30.20000
1965-04-01;30.90000
1965-05-01;32.10000
1965-06-01;33.10000
1965-07-01;29.69550
1965-08-01;31.99550
1965-09-01;36.09550
1965-10-01;60.09550
1965-11-01;170.97680
1965-12-01;206.00000
